result,field,total,top_issuer,top_count
NA,e_adobe_extensions_legacy_multipurpose_criticality,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_adobe_extensions_strict_presence,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_authority_key_identifier_correct,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_commonname_mailbox_validated,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_cs_crl_distribution_points,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_cs_eku_required,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_cs_key_usage_required,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_cs_rsa_key_size,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_dsa_correct_order_in_subgroup,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_dsa_improper_modulus_or_divisor_size,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_dsa_params_missing,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_dsa_shorter_than_2048_bits,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_dsa_unique_correct_representation,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ec_other_key_usages,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ecpublickey_key_usages,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_edwardspublickey_key_usages,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ext_policy_constraints_empty,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ext_policy_constraints_not_critical,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ext_policy_map_any_policy,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ext_tor_service_descriptor_hash_invalid,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_inhibit_any_policy_not_critical,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_key_usage_presence,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_legal_entity_identifier,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_mailbox_address_shall_contain_an_rfc822_name,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_mailbox_validated_enforce_subject_field_restrictions,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_mp_rsassa-pss_parameters_encoding_in_signature_algorithm_correct,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_precert_with_sct_list,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_qcstatem_qcsscd_valid,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_registration_scheme_id_matches_subject_country,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_rsa_key_usage_legacy_multipurpose,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_rsa_key_usage_strict,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_rsa_other_key_usages,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_san_dns_name_onion_not_ev_cert,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_san_shall_be_present,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_single_email_if_present,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_single_email_subject_if_present,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_smime_legacy_aia_shall_have_one_http,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_smime_legacy_multipurpose_eku_check,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_smime_qc_statements_must_not_be_critical,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_smime_strict_aia_shall_have_http_only,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_smime_strict_eku_check,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_strict_multipurpose_smime_ext_subject_directory_attr,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_sub_ca_aia_marked_critical,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_sub_ca_crl_distribution_points_does_not_contain_url,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_sub_ca_crl_distribution_points_marked_critical,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_subject_contains_reserved_arpa_ip,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_subject_country_name,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_subject_info_access_marked_critical,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_subscribers_crl_distribution_points_are_http,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_subscribers_shall_have_crl_distribution_points,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_ext_policy_map_not_critical,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_ext_policy_map_not_in_cert_policy,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_key_usage_criticality,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_san_should_not_be_critical,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_smime_aia_contains_internal_names,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_sub_ca_certificate_policies_marked_critical,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_sub_ca_name_constraints_not_critical,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_subject_contains_malformed_arpa_ip,7044967,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ext_name_constraints_not_critical,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ext_name_constraints_not_in_ca,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ext_nc_intersects_reserved_ip,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_name_constraint_empty,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_name_constraint_maximum_not_absent,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_name_constraint_minimum_non_zero,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_name_constraint_not_fqdn,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_sub_cert_given_name_surname_contains_correct_policy,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_subject_given_name_max_length,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_name_constraint_on_edi_party_name,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_name_constraint_on_registered_id,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_name_constraint_on_x400,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_subject_given_name_recommended_max_length,7044966,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_onion_subject_validity_time_too_large,7044965,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_san_dns_name_onion_invalid,7044965,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ca_invalid_eku,7044964,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_subject_surname_max_length,7044964,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,n_sub_ca_eku_not_technically_constrained,7044964,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_sub_ca_eku_critical,7044964,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_subject_surname_recommended_max_length,7044964,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ext_cert_policy_disallowed_any_policy_qualifier,7044963,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_qcstatem_qclimitvalue_valid,7044963,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ext_freshest_crl_marked_critical,7044960,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_cab_iv_requires_personal_name,7044952,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_cert_policy_iv_requires_country,7044952,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_cert_policy_iv_requires_province_or_locality,7044952,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ext_subject_directory_attr_critical,7044945,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_old_sub_ca_rsa_mod_less_than_1024_bits,7044926,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ocsp_id_pkix_ocsp_nocheck_ext_not_included_server_auth,7044897,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ev_organization_id_missing,7044883,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ev_orgid_inconsistent_subj_and_ext,7044883,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ev_valid_time_too_long,7044871,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_invalid_ca_certificate_policies,7044850,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_sub_ca_aia_missing,7044850,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_sub_ca_certificate_policies_missing,7044850,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_sub_ca_crl_distribution_points_missing,7044850,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,n_mp_allowed_eku,7044850,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,n_sub_ca_eku_missing,7044850,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_sub_ca_aia_does_not_contain_issuing_ca_url,7044850,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,w_sub_ca_aia_missing,7044850,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_qcstatem_qccompliance_valid,7044706,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_cabf_org_identifier_psd_vat_has_state,7044531,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_rsa_allowed_ku_ca,7044385,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_rsa_allowed_ku_no_encipherment_ca,7044385,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_root_ca_key_usage_must_be_critical,7044253,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ca_crl_sign_not_set,7044246,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ca_key_cert_sign_not_set,7044246,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ca_key_usage_not_critical,7044246,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,n_ca_digital_signature_not_set,7044246,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_ca_is_ca,7044197,"C=US, O=Google Trust Services, CN=WE1",1395247
NA,e_qcstatem_qcretentionperiod_valid,7044166,"C=US, O=Google Trust Services, CN=WE1",1395247
